--- scanner 0 ---
385,-361,405
-852,515,-489
336,928,466
-790,-808,-512
-548,-779,374
-706,-757,-430
-635,-615,362
-630,-729,-519
-963,477,-487
753,808,-605
740,774,-615
352,-454,-949
-773,645,541
405,-470,568
-65,111,-185
325,-343,553
413,943,530
309,881,591
412,-468,-827
-189,61,-45
-818,745,486
-750,754,404
726,706,-708
440,-583,-974
-805,510,-451
-627,-769,479

--- scanner 1 ---
489,-508,-309
568,401,-321
-487,530,543
-550,798,-610
497,-391,-463
-544,497,719
-783,-550,393
652,483,-270
-457,473,658
-490,920,-624
-810,-592,562
615,392,827
-463,-582,-735
536,-627,507
-578,945,-495
-543,-597,-608
492,490,-349
-789,-476,539
25,136,126
410,-403,-299
606,508,668
685,-670,552
586,-672,641
-523,-434,-717
499,373,679
-71,3,20

--- scanner 2 ---
276,399,-624
-840,712,-852
800,526,509
360,500,-664
-742,-523,770
558,-845,613
-649,-591,756
581,-642,-957
418,-882,493
757,497,569
-827,807,-726
536,-696,-873
312,551,-727
-659,795,815
594,-778,-844
20,73,-89
-613,841,682
-752,-489,783
-906,-787,-775
-812,838,-786
749,714,565
-868,-782,-822
-698,801,710
-106,-13,21
-870,-820,-933
401,-902,658

--- scanner 3 ---
-279,-453,-786
838,461,-413
-621,800,-524
-545,369,642
815,-636,457
-646,852,-435
476,666,563
-263,-371,-818
-23,29,-57
795,-763,-737
562,-758,-745
-400,-400,-909
820,489,-355
-770,-662,706
-494,378,536
-783,-706,788
414,449,544
142,-67,-5
777,511,-512
-707,790,-599
727,-826,-761
-745,-749,708
864,-418,466
834,-574,565
-598,377,432
465,603,559

--- scanner 4 ---
-647,440,699
505,898,-901
22,-81,-123
-611,603,609
-611,-658,458
563,-536,468
-937,-323,-520
510,-416,-846
-579,848,-814
449,-429,-811
604,-566,660
-493,838,-739
304,544,210
362,636,230
346,634,324
-921,-405,-552
503,-402,-934
-664,-665,488
-96,70,-18
-800,-352,-429
-716,-709,365
-554,900,-903
469,-553,647
542,904,-903
550,896,-761
-545,628,698

--- scanner 5 ---
-414,774,582
974,-472,-609
93,174,-27
955,-324,-725
657,414,429
-394,-495,508
747,436,571
942,891,-890
850,-432,434
874,-493,347
839,-483,-716
-495,-349,-942
851,965,-859
-392,804,664
118,-17,-162
-544,-421,554
